,country,month,latitude,longitude,hours_of_sun,temp,humidity,precip,cloudcover,avg_mth_en_consumption_house_kwh,energy_price_eur_kwh,solar_panel_power_kwh,monthly_energy_produced_kwh,montlhy_energy_cost_eur,montlhy_solar_panel_cost_saved,money_saved,solar_panel_price,years_to_pay_the_solar_panel,solar_panel_life_cycle,years_after_beeing_paid,number_of_solar_panels_to_cover_electricity_needs,Amount_you_can_make_selling_energy
0,albania,6.5,41.322,19.825,371.3757407407407,16.78979710701485,66.08458845366103,2.8258850614439326,46.192275345622114,354.25,0.081,405.0,80.73604373049037,28.69425,6.53961954216972,22.416666666666668,700.0,10.083403368293665,30,19.916596631706334,4.0,19295.846599439756
1,austria,6.5,48.203,16.368,372.5737962962963,13.256246159754225,62.97309523809523,1.1473257040450588,59.026910522273425,503.0,0.206,405.0,63.31418782203914,103.618,13.04272269134006,12.416666666666666,700.0,5.598062903628076,30,24.401937096371924,8.0,18539.865942495315
2,belarus,6.5,53.904,27.566,374.05185185185184,7.285460829493087,79.27897017409114,1.4258715612344643,59.09162122375832,374.3333333333333,0.056,405.0,69.27978396734703,20.962666666666667,3.879667902171434,17.333333333333332,700.0,38.743848104423115,30,-8.743848104423115,5.0,-7269.262892612763
3,belgium,6.5,50.844,4.356,373.18402777777777,12.153197644649255,74.62540322580645,1.7941428507424473,60.15650985663083,357.0,0.3791,405.0,62.75796295642121,135.3387,23.79154375677928,17.833333333333332,700.0,3.3521643312098006,30,26.6478356687902,6.0,20068.366605248822
4,bosnia and herzegovina,6.5,43.859,18.436,371.7653935185185,11.696709549411162,69.59358998975934,2.1961928187403994,57.08011712749616,350.5,0.071,405.0,66.03209192360669,24.885499999999997,4.688278526576074,18.166666666666668,700.0,15.800342299410303,30,14.199657700589697,5.0,11251.59723082906
5,bulgaria,6.5,42.697,23.324,371.5806944444444,11.122157578084996,70.89105222734254,1.6108085573476705,47.73628968253968,322.1666666666667,0.09300000000000001,405.0,79.52932953466667,29.9615,7.396227646724,24.083333333333332,700.0,9.062262697322604,30,20.937737302677398,4.0,19981.970515858964
6,croatia,6.5,45.806999999999995,15.967999999999998,372.1027546296296,13.488043394777264,70.41451484895033,2.2001346966205837,53.80246159754225,404.25,0.117,405.0,70.73685789843834,47.29725,8.276212374117287,17.25,700.0,9.225902823075037,30,20.77409717692496,6.0,17633.932319669882
7,czech republic,6.5,50.079,14.433,372.99613425925924,10.987383512544802,69.5960803891449,1.6589343766001026,68.54816564260112,316.8333333333333,0.3605,405.0,49.3819771797316,114.21841666666667,17.802202773293242,15.833333333333334,700.0,4.768380303905674,30,25.231619696094327,6.0,14951.847216482358
8,denmark,6.5,55.67600000000001,12.568,374.6631481481482,10.056616743471581,77.96058179723502,1.3926533602150537,62.40406169994879,408.25,0.363,405.0,59.56099484841607,148.19475,21.62064112997503,14.833333333333334,700.0,3.843423426944278,30,26.156576573055723,7.0,18694.94067023967
9,estonia,6.5,59.436,24.753,376.3847685185185,7.112779697900666,78.89525025601638,1.2951402201740911,57.803161802355355,492.4166666666667,0.2085,405.0,72.9110975891549,102.668875,15.201963847338797,14.166666666666666,700.0,8.959031433908068,30,21.040968566091934,7.0,18409.44134991204
10,finland,6.5,60.171,24.933000000000003,376.8230092592593,7.21231694828469,77.98283794162826,1.308342741935484,54.33571428571429,489.8333333333333,0.1873,405.0,76.7953232610644,91.74578333333334,14.383764046797362,16.5,700.0,7.8588801873216525,30,22.141119812678348,6.0,20404.013440519095
11,france,6.5,48.857,2.341,372.71523148148145,13.756668586789553,70.09913402457757,1.2736640104966719,68.02938748079877,372.75,0.1723,405.0,50.57653815607397,64.22482500000001,8.714337524291546,13.833333333333334,700.0,9.570522447813298,30,20.429477552186704,7.0,12399.02701112193
12,germany,6.5,52.516,13.377,373.6328703703704,11.347452636968766,71.1859863031234,1.0722868919610855,60.34974526369688,374.3333333333333,0.233,405.0,61.171261834646735,87.21966666666667,14.252904007472688,16.5,700.0,5.295328866904277,30,24.704671133095722,6.0,18134.590877057246
13,greece,6.5,37.97599999999999,23.736,370.93250000000006,18.189155145929337,58.186818996415774,0.9133079813108038,34.851691628264206,345.8333333333333,0.295,405.0,99.12128805235317,102.02083333333333,29.240779975444184,28.083333333333332,700.0,2.2094381972924313,30,27.79056180270757,3.0,33055.6353789948
14,hungary,6.5,47.5,19.055,372.42877314814814,12.680410266257041,65.88564708141321,1.2345559139784945,31.98886840757808,341.9166666666667,0.0853,405.0,106.24471314569011,29.165491666666668,9.062674031327367,30.0,700.0,8.96971122744761,30,21.03028877255239,3.0,26812.28397613027
15,iceland,6.5,64.146,-21.94,380.5760416666667,5.205084485407066,75.31314516129032,2.227852105734767,75.84185675883256,1141.6666666666667,0.1205,405.0,33.641942690205106,137.57083333333333,4.053854094169715,3.0833333333333335,700.0,17.477545527161826,30,12.522454472838174,34.0,5055.356348591094
16,ireland,6.5,53.34799999999999,-6.248,373.87842592592597,10.457420634920634,80.33799987199181,1.3145334229390682,69.18847862263185,434.4166666666667,0.3718000000000001,405.0,45.21614547724235,161.51611666666668,16.811362888438705,10.583333333333334,700.0,3.7683929093593034,30,26.231607090640697,10.0,14233.10594774726
17,italy,6.5,41.903,12.496,371.46085648148147,17.165679723502304,65.6019214029698,1.3509697836661545,30.20637416794675,422.8333333333333,0.3192,405.0,105.05686105713369,134.9684,33.53415004943707,24.583333333333332,700.0,1.8980812764346082,30,28.10191872356539,4.0,35427.59244936567
18,lithuania,6.5,54.691,25.27,374.311712962963,7.510664362519201,77.88219406041986,0.9789224718381976,70.80468381976446,362.5,0.20000000000000004,405.0,48.09303898003633,72.5,9.618607796007268,12.833333333333334,700.0,12.661700309064335,30,17.338299690935663,8.0,10006.21827460465
19,luxembourg,6.5,49.60999999999999,6.13,372.8854166666667,11.34951164874552,73.56569508448541,1.0042188428059395,54.984704941116235,331.75,0.1696,405.0,71.36433156371147,56.2648,12.103390633205466,21.916666666666668,700.0,6.527867850693064,30,23.472132149306937,5.0,20100.876254524705
20,malta,6.5,35.894,14.512,370.6896527777778,19.869168586789552,72.60304915514592,0.9069931899641577,32.71070980542755,353.0,0.134,405.0,101.8528612236904,47.302,13.648283403974512,28.5,700.0,4.6171606690122085,30,25.382839330987792,3.0,31023.77774210796
21,montenegro,6.5,42.435,19.264,371.54062500000003,17.059781746031746,59.062658090117765,4.035661002304147,41.56796594982079,310.4166666666667,0.079,405.0,87.38960612920101,24.522916666666664,6.903778884206879,27.333333333333332,700.0,9.957974810892166,30,20.042025189107832,4.0,21017.576247691908
22,netherlands,6.5,52.37,4.908,373.5912962962963,11.731434331797237,77.67600358422939,2.035272068612391,70.6642671530978,302.6666666666667,0.0595,405.0,46.15543679522568,18.008666666666667,2.746248489315928,15.583333333333334,700.0,30.754363727720612,30,-0.7543637277206123,7.0,-417.81584826503473
23,north macedonia,6.5,41.995,21.429999999999996,371.47432870370375,13.245816692268306,68.32678315412187,1.1790168906810035,49.672007168458784,310.1666666666667,0.98,405.0,77.22724029100117,303.9633333333333,75.68269548518116,24.166666666666668,700.0,0.9158156270491901,30,29.08418437295081,4.0,26953.095542851835
24,norway,6.5,59.912,10.75,376.66291666666666,7.031522017409114,73.88370839733743,8.038461879160266,66.5743081157194,1312.3333333333333,0.2751,405.0,50.56596879232212,361.0229,13.910698014767815,4.083333333333333,700.0,6.994756392535526,30,23.005243607464475,26.0,13959.3891637778
25,poland,6.5,52.236,21.01,373.5537962962963,9.922057091653866,72.53626152073733,1.4283032066052226,60.61661930363544,427.6666666666667,0.126,405.0,62.67323387388024,53.885999999999996,7.896827468108911,14.166666666666666,700.0,10.900137952437971,30,19.099862047562027,7.0,14364.601452788449
26,portugal,6.5,38.72599999999999,-9.149,371.02583333333337,17.7821780593958,70.4000377624168,1.5650139656938045,42.933136840757804,413.3333333333333,0.19719999999999996,405.0,85.5446545371755,81.50933333333333,16.869405874731008,20.333333333333332,700.0,3.737610137635682,30,26.26238986236432,5.0,26959.284817158907
27,romania,6.5,44.434,26.102999999999998,371.8612962962963,13.443835125448027,66.6407808499744,1.1118161034306195,54.900609959037375,384.6666666666667,0.2683,405.0,68.43229198549771,103.20606666666667,18.36038393970904,17.916666666666668,700.0,3.6450306221982554,30,26.354969377801744,6.0,21642.371516766958
28,serbia,6.5,44.81300000000001,20.463,371.9260648148149,13.854214669738864,69.5954896313364,1.831433627752176,36.15367767537122,312.8333333333333,0.0617,405.0,97.74008793564474,19.301816666666667,6.030563425629281,30.666666666666668,700.0,11.52975968060638,30,18.470240319393618,3.0,21663.39495612028
29,slovenia,6.5,46.05100000000001,14.503,372.1477777777778,12.0427636968766,72.43117575524833,2.9136769521249355,58.45627624167947,290.6666666666667,0.1533,405.0,63.39883541776709,44.559200000000004,9.719041469543695,21.583333333333332,700.0,10.167487657575021,30,19.832512342424977,5.0,15088.298231018827
30,spain,6.5,40.42,-3.692,371.24875,16.507257424475167,56.86811379928315,1.0947293906810036,42.57780785970302,452.3333333333333,0.2966,405.0,88.22069851752013,134.16206666666668,26.166259180296475,19.333333333333332,700.0,2.8808566209891144,30,27.119143379010886,5.0,28709.63726511746
31,sweden,6.5,59.333,18.067,376.32625,8.447693292370712,73.17534498207885,1.4036367383512545,54.72277073732719,464.0,0.248,405.0,72.03576053349383,115.072,17.86486861230647,15.416666666666666,700.0,5.032103934549302,30,24.9678960654507,6.0,21582.976583951633
32,switzerland,6.5,46.948,7.44,372.3190277777778,10.91667498719918,76.27690348182284,2.4052426587301587,60.105895417306705,416.8333333333333,0.222,405.0,60.01183935004693,92.53699999999999,13.322628335710418,14.75,700.0,5.873297726565437,30,24.126702273434564,7.0,17374.653370557204
33,ukraine,6.5,50.451,30.524,373.08650462962964,9.664356118791602,70.70781426011264,1.436454813108039,69.04209997439837,370.0,0.042,405.0,48.43266263060522,15.54,2.0341718304854193,12.666666666666666,700.0,41.95034554868347,30,-11.950345548683472,8.0,-6945.444651342497
34,united kingdom,6.5,51.506,-0.127,373.3554398148148,12.975272657450077,72.47944060419867,1.44097551203277,50.53780337941628,541.4166666666666,0.25,405.0,76.66328803246117,135.35416666666666,19.165822008115292,14.416666666666666,700.0,3.654921607974629,30,26.34507839202537,7.0,24236.403996067318
